q_sigma,L,points,converged,seed_offset,sigma,A0_candidate,M1,Kgeom,shift_identity_error,solver_residual_max,message
1.2827787968399096,16.0,1500,True,-0.0005,1.0725530153198669e-09,0.0006489670682260362,-0.12068300472915684,0.12133197179738288,1.0576182419592752e-18,1.8350970263677112e-08,
1.2827787968399096,18.0,1900,True,0.0005,-7.45512783068277e-13,0.0006489664111523491,-0.12069346564422498,0.12134243205537733,2.37563335434055e-17,1.7386128855233552e-08,
1.2827787968399096,20.0,2300,True,0.001,-3.874564109208046e-11,0.0006489853099715948,-0.12069513832174353,0.12134412363171512,1.9913999361577267e-17,3.854719238780162e-09,
1.2827787968399096,22.0,2700,True,-0.001,-4.1542700589131837e-11,0.0006489851893641957,-0.12069553339262284,0.12134451858198704,3.3361792062110694e-17,3.1707871628529357e-09,
1.2827787968399096,24.0,3100,True,-0.001,-4.198750293477856e-11,0.0006489852406819929,-0.12069563826468827,0.12134462350537026,2.9337403272750663e-17,2.719800962777239e-09,
